"Tren","Volume penelusuran","Dimulai","Berakhir","Perincian tren","Jelajahi link"
"marquinhos","500+","14 Juni 2026 pukul 05.10.00 UTC+7","14 Juni 2026 pukul 07.40.00 UTC+7","marquinhos","./explore?q=marquinhos&geo=ID"
"dylan harper","500+","14 Juni 2026 pukul 09.50.00 UTC+7","14 Juni 2026 pukul 11.20.00 UTC+7","dylan harper","./explore?q=dylan%20harper&geo=ID"
"brahim diaz","500+","14 Juni 2026 pukul 05.30.00 UTC+7","14 Juni 2026 pukul 07.30.00 UTC+7","brahim diaz","./explore?q=brahim%20diaz&geo=ID"
"endrick","500+","14 Juni 2026 pukul 05.40.00 UTC+7","14 Juni 2026 pukul 07.30.00 UTC+7","endrick","./explore?q=endrick&geo=ID"
"soufiane rahimi","500+","14 Juni 2026 pukul 05.50.00 UTC+7","14 Juni 2026 pukul 08.00.00 UTC+7","soufiane rahimi","./explore?q=soufiane%20rahimi&geo=ID"
"weather tomorrow","5 rb+","13 Juni 2026 pukul 20.50.00 UTC+7","13 Juni 2026 pukul 21.40.00 UTC+7","weather tomorrow","./explore?q=weather%20tomorrow&geo=ID"
"chemsdine talbi","500+","14 Juni 2026 pukul 06.30.00 UTC+7","14 Juni 2026 pukul 07.50.00 UTC+7","chemsdine talbi","./explore?q=chemsdine%20talbi&geo=ID"
"luiz henrique","200+","14 Juni 2026 pukul 06.20.00 UTC+7","14 Juni 2026 pukul 07.40.00 UTC+7","luiz henrique","./explore?q=luiz%20henrique&geo=ID"
"miro muheim","200+","14 Juni 2026 pukul 07.10.00 UTC+7","14 Juni 2026 pukul 08.20.00 UTC+7","miro muheim","./explore?q=miro%20muheim&geo=ID"
"remo freuler","200+","14 Juni 2026 pukul 02.10.00 UTC+7","14 Juni 2026 pukul 03.40.00 UTC+7","remo freuler","./explore?q=remo%20freuler&geo=ID"
"danley jean jacques","200+","14 Juni 2026 pukul 08.30.00 UTC+7","14 Juni 2026 pukul 09.20.00 UTC+7","danley jean jacques","./explore?q=danley%20jean%20jacques&geo=ID"
"klasmen piala dunia","200+","14 Juni 2026 pukul 07.20.00 UTC+7","14 Juni 2026 pukul 08.10.00 UTC+7","klasmen piala dunia","./explore?q=klasmen%20piala%20dunia&geo=ID"
"ruben onsu","200+","14 Juni 2026 pukul 05.50.00 UTC+7","14 Juni 2026 pukul 06.50.00 UTC+7","ruben onsu","./explore?q=ruben%20onsu&geo=ID"
"cunha","200+","14 Juni 2026 pukul 06.50.00 UTC+7","14 Juni 2026 pukul 07.30.00 UTC+7","cunha","./explore?q=cunha&geo=ID"
"miroslav klose","100+","14 Juni 2026 pukul 04.40.00 UTC+7","14 Juni 2026 pukul 05.50.00 UTC+7","miroslav klose","./explore?q=miroslav%20klose&geo=ID"
"yallakora","100+","14 Juni 2026 pukul 05.30.00 UTC+7","14 Juni 2026 pukul 06.10.00 UTC+7","yallakora","./explore?q=yallakora&geo=ID"
"ya","100+","14 Juni 2026 pukul 05.30.00 UTC+7","14 Juni 2026 pukul 06.10.00 UTC+7","ya","./explore?q=ya&geo=ID"
"inter turku","500+","13 Juni 2026 pukul 21.00.00 UTC+7","13 Juni 2026 pukul 21.20.00 UTC+7","inter turku","./explore?q=inter%20turku&geo=ID"
